"gid";"id_grid";"dir";"coor";"x";"y"
246;358;"C 47 O 5A O 11";"3.464065908935,-76.588834794991";-76.588834794991;3.464065908935
247;358;"C 47 O 5A 15";"3.464064593929,-76.588838444619";-76.588838444619;3.464064593929
248;359;"A 5C O 47B O 08";"3.464671588289,-76.5886723752";-76.5886723752;3.464671588289
249;359;"C 47B O 5C O 30";"3.464611328852,-76.588324666";-76.588324666;3.464611328852
250;359;"C 48 O 5B O 13";"3.464676781515,-76.589053575442";-76.589053575442;3.464676781515
251;359;"C 47B O 5D O 03";"3.464699581674,-76.588238007061";-76.588238007061;3.464699581674
252;359;"A 5B O 48 O 04";"3.464529007484,-76.589122438455";-76.589122438455;3.464529007484
253;359;"A 5B O 47B O 18";"3.464186554946,-76.588521965217";-76.588521965217;3.464186554946
254;359;"A 5D O 47B B 17";"3.46417504271,-76.588481420155";-76.588481420155;3.46417504271
255;359;"A 5C O 47A O 15  1";"3.46458537782,-76.588699619369";-76.588699619369;3.46458537782
256;359;"C 47A O 5C O 23";"3.464543917829,-76.588233981456";-76.588233981456;3.464543917829
257;359;"C 47B O 5C O 17";"3.464701685076,-76.588350892473";-76.588350892473;3.464701685076
258;359;"A 5A O 47B O 10";"3.464497482922,-76.58922957233";-76.58922957233;3.464497482922
259;359;"C 47B O 5C O 19 00";"3.464383973867,-76.588678208008";-76.588678208008;3.464383973867
260;359;"A 5C O 47B O 16";"3.46494083181,-76.588839229137";-76.588839229137;3.46494083181
261;359;"C 47B O 5C O 18";"3.464602111147,-76.588388032066";-76.588388032066;3.464602111147
262;359;"C 47B O 5C O 29";"3.464685282212,-76.588300616305";-76.588300616305;3.464685282212
263;359;"C 47B O 5C O 15";"3.464742444263,-76.588402669611";-76.588402669611;3.464742444263
264;359;"C 47A O 5B O 10";"3.464223595193,-76.588772838997";-76.588772838997;3.464223595193
265;359;"C 47 O 5B O 03";"3.464046524058,-76.588857894267";-76.588857894267;3.464046524058
266;359;"C 47B O 5B O 16";"3.464549239645,-76.588840924538";-76.588840924538;3.464549239645
267;359;"A 5C O 47B O 15";"3.464134563081,-76.588694367752";-76.588694367752;3.464134563081
268;359;"C 47A O 5B O 03  1";"3.464325878733,-76.588945107153";-76.588945107153;3.464325878733
269;359;"A 5C O 47B O 03";"3.464130118772,-76.588655778967";-76.588655778967;3.464130118772
270;359;"A 5E O 47B O 23";"3.464702317743,-76.588628687981";-76.588628687981;3.464702317743
271;359;"A 5C O 47B O 09";"3.464127495162,-76.588692411385";-76.588692411385;3.464127495162
272;359;"C 47 O 5D O 16";"3.464122953188,-76.588181184379";-76.588181184379;3.464122953188
273;359;"C 47 O 5D O 13  1";"3.464277841115,-76.588289819695";-76.588289819695;3.464277841115
274;359;"C 46B O 5D O 09";"3.463962418678,-76.588272388952";-76.588272388952;3.463962418678
275;359;"C 47 O 5D O 04";"3.464039679782,-76.588473982613";-76.588473982613;3.464039679782
276;359;"A 5A O 47 O 04 01";"3.46400245317,-76.588984390821";-76.588984390821;3.46400245317
277;359;"A 5A O 47 O 10";"3.464024559842,-76.589050842123";-76.589050842123;3.464024559842
278;359;"C 47A O 5B O 04";"3.464217700284,-76.588891140935";-76.588891140935;3.464217700284
279;359;"A 5A O 47A O 04";"3.464219564684,-76.589127805552";-76.589127805552;3.464219564684
280;359;"A 5A O 47A O 16";"3.464371363253,-76.589174551481";-76.589174551481;3.464371363253
281;359;"A 5A O 47B O 04";"3.464055598117,-76.588842721141";-76.588842721141;3.464055598117
282;359;"C 47A O 5C O 09";"3.46452029508,-76.588417816962";-76.588417816962;3.46452029508
283;359;"A 5A O 47 O 22  1";"3.464150663881,-76.589086814595";-76.589086814595;3.464150663881
284;359;"C 47 O 5A O 16";"3.463882712951,-76.588934368388";-76.588934368388;3.463882712951
285;359;"C 47A O 5A O 20";"3.464176249844,-76.589008402946";-76.589008402946;3.464176249844
286;359;"C 47B O 5D O 14";"3.464602666203,-76.588171433028";-76.588171433028;3.464602666203
287;359;"C 47 O 5B O 07";"3.464062557895,-76.588816018935";-76.588816018935;3.464062557895
288;359;"C 47A O 5A O 03";"3.464219564684,-76.589127805552";-76.589127805552;3.464219564684
