"gid";"id_grid";"dir";"coor";"x";"y"
8210;3051;"C 12E O 53 14";"3.419679432858,-76.565166597236";-76.565166597236;3.419679432858
8211;3051;"K 53 12E O 22";"3.419739195806,-76.564969294822";-76.564969294822;3.419739195806
8212;3051;"K 53 12E O 07";"3.419437228613,-76.564899684226";-76.564899684226;3.419437228613
8213;3051;"C 12E O 53 09";"3.419200285438,-76.564881821166";-76.564881821166;3.419200285438
8214;3051;"C 12E O 53 06";"3.419369427223,-76.564849971974";-76.564849971974;3.419369427223
8215;3051;"C 12E O 53 05";"3.419230935435,-76.565352738425";-76.565352738425;3.419230935435
8216;3051;"K 53 12E O 04";"3.419092802379,-76.565216139073";-76.565216139073;3.419092802379
8217;3052;"K 53 13 O 07";"3.420244792233,-76.565603802132";-76.565603802132;3.420244792233
8218;3052;"C 13 O 52C 41";"3.42078809095,-76.565546771229";-76.565546771229;3.42078809095
8219;3052;"C 13 O 53B 37";"3.420128842365,-76.56536715691";-76.56536715691;3.420128842365
8220;3052;"C 13 O 52B 20";"3.420316693789,-76.564872623612";-76.564872623612;3.420316693789
8221;3052;"C 13 O 52B 34";"3.420331124941,-76.565306326223";-76.565306326223;3.420331124941
8222;3052;"C 13 O 52B 40";"3.420409857056,-76.565492254065";-76.565492254065;3.420409857056
8223;3052;"C 13 O 53B 13";"3.420083753322,-76.565475095569";-76.565475095569;3.420083753322
8224;3052;"C 13 O 53B 06";"3.420276360252,-76.565581983596";-76.565581983596;3.420276360252
8225;3052;"C 25C O 49B 64";"3.420763865054,-76.565106932949";-76.565106932949;3.420763865054
8226;3052;"C 13 O 52B 46";"3.420434915168,-76.565645104783";-76.565645104783;3.420434915168
8227;3052;"C 13 O 52B 19";"3.420205231375,-76.564789767381";-76.564789767381;3.420205231375
8228;3052;"C 13 O 52B 48";"3.420454442137,-76.565776830877";-76.565776830877;3.420454442137
8229;3052;"C 13 O 53B 22";"3.42019141254,-76.565628170961";-76.565628170961;3.42019141254
8230;3052;"C 13 O 52B 39";"3.42015075619,-76.56541491607";-76.56541491607;3.42015075619
8231;3052;"C 13 O 53B 09";"3.420098004019,-76.565457836584";-76.565457836584;3.420098004019
8232;3052;"K 53 1 12E O 30";"3.419705782145,-76.565437335655";-76.565437335655;3.419705782145
8233;3052;"K 53 1 12E O 34";"3.419692774134,-76.565522764345";-76.565522764345;3.419692774134
8234;3052;"C 13 O 53 22";"3.42019141254,-76.565628170961";-76.565628170961;3.42019141254
8235;3052;"C 13 O 53 15";"3.419941933298,-76.565675341092";-76.565675341092;3.419941933298
8236;3052;"C 13 O 53 14";"3.420069119865,-76.565903362475";-76.565903362475;3.420069119865
8237;3052;"C 13 O 53 11";"3.419941933298,-76.565675341092";-76.565675341092;3.419941933298
8238;3052;"C 13 O 53 09";"3.420125948756,-76.565480685153";-76.565480685153;3.420125948756
8239;3052;"C 13 O 53 08";"3.420096950925,-76.5657802691";-76.5657802691;3.420096950925
8240;3052;"C 13 O 53 07";"3.420090111978,-76.565562932228";-76.565562932228;3.420090111978
8241;3052;"C 12E O 53 10";"3.419683818132,-76.565163551592";-76.565163551592;3.419683818132
8242;3052;"K 53 12E O 17";"3.419717267672,-76.565334070631";-76.565334070631;3.419717267672
8243;3052;"K 53 12E O 44";"3.420068072804,-76.565425624088";-76.565425624088;3.420068072804
8244;3052;"K 53 12E O 34";"3.420019199063,-76.565445408763";-76.565445408763;3.420019199063
8245;3052;"K 53 12E O 25";"3.419843784907,-76.565634352121";-76.565634352121;3.419843784907
8246;3052;"K 53 12E O 24";"3.419970848435,-76.565459330715";-76.565459330715;3.419970848435
8247;3052;"K 53 12E O 21";"3.419759593124,-76.56548960149";-76.56548960149;3.419759593124
8248;3052;"K 53 12E O 18";"3.419889724562,-76.565394961233";-76.565394961233;3.419889724562
8249;3052;"K 53 12E O 16";"3.419883003596,-76.565340650499";-76.565340650499;3.419883003596
8250;3052;"K 53 12E O 14";"3.419878701226,-76.565281270054";-76.565281270054;3.419878701226
8251;3052;"K 53 12E O 10";"3.419860698057,-76.565208712217";-76.565208712217;3.419860698057
8252;3052;"K 53 12E O 20";"3.419904113041,-76.565476025122";-76.565476025122;3.419904113041
8253;3052;"K 53 13 O 15";"3.420256809697,-76.565780814443";-76.565780814443;3.420256809697
8254;3052;"C 13 O 52B 38";"3.420358786083,-76.56538591465";-76.56538591465;3.420358786083
8255;3052;"C 13 O 52B 32";"3.420332191183,-76.565234080547";-76.565234080547;3.420332191183
8256;3052;"C 13 O 52B 30";"3.420268270103,-76.565149175757";-76.565149175757;3.420268270103
8257;3052;"C 13 O 52B 28";"3.420270225121,-76.565068259896";-76.565068259896;3.420270225121
8258;3052;"C 13 O 52B 24";"3.420287040593,-76.565005374391";-76.565005374391;3.420287040593
8259;3052;"C 13 O 52B 23";"3.420150247541,-76.564873806229";-76.564873806229;3.420150247541
8260;3052;"C 13 O 52B 22";"3.420294657365,-76.564940932876";-76.564940932876;3.420294657365
8261;3052;"C 13 O 52B 21";"3.420177989574,-76.564828788322";-76.564828788322;3.420177989574
8262;3052;"C 13 O 52B 18";"3.420331490146,-76.564779890762";-76.564779890762;3.420331490146
8263;3052;"C 13 O 52B 31";"3.420126556309,-76.565233168334";-76.565233168334;3.420126556309
8264;3052;"K 53 12E O 26";"3.419805387859,-76.565060588209";-76.565060588209;3.419805387859
8265;3052;"C 12E O 53 14";"3.419679432858,-76.565166597236";-76.565166597236;3.419679432858
8266;3052;"C 13 O 53 00";"3.420281272201,-76.565519342698";-76.565519342698;3.420281272201
8267;3053;"C 13 O 52C 10";"3.420894452838,-76.565571315224";-76.565571315224;3.420894452838
